# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Fri Apr 14 06:36:20 CDT 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.8,54) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,11) frames.
Overall, IY1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,22) frames.
Overall, P_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, AO1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,20) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,20) frames.
Overall, AY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.9,25) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,20) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,8) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,18) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,21) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,16) frames.
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, R_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,15) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,10) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,14) frames.
Overall, AH0_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,21) frames.
Overall, K_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,18) frames.
The optional-silence phone SIL occupies 20.6% of frames overall 
Limiting the stats to the 95.5% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 16.9% of frames.
Assuming 100 frames per second, the alignments represent 5.3 hours of data, or 4.2 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 4.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (31,39.3,108)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Apr 14 06:36:20 CDT 2023, elapsed time 0 seconds
